date,price,daily_return,annualized_return,time_period
2024-05-28,3848.329092999462,-0.010632098949860613,0.9893679010501394,74 days
2024-05-29,3771.578460485621,-0.019943884906688192,0.9800561150933118,75 days
2024-05-30,3742.515383534085,-0.007705812634160036,0.99229418736584,76 days
2024-05-31,3756.667648509733,0.003781484783713651,1.0037814847837137,77 days
2024-06-01,3817.033399734141,0.016068962408307463,1.0160689624083075,78 days
2024-06-02,3774.208743051093,-0.01121935602817381,0.9887806439718262,79 days
2024-06-03,3770.5958140331472,-0.0009572679371795401,0.9990427320628205,80 days
2024-06-04,3810.096419700039,0.010475958605767666,1.0104759586057677,81 days
2024-06-05,3857.301294244872,0.012389417312580697,1.0123894173125807,82 days
2024-06-06,3802.1502930604192,-0.014297820413131546,0.9857021795868685,83 days
2024-06-07,3684.339304169935,-0.03098535823413129,0.9690146417658687,84 days
2024-06-08,3680.202465624309,-0.0011228169297393675,0.9988771830702606,85 days
2024-06-09,3708.38074136882,0.007656718891886127,1.0076567188918861,86 days
2024-06-10,3665.305873229992,-0.011615546283666789,0.9883844537163332,87 days
2024-06-11,3498.650545088834,-0.045468327584430424,0.9545316724155696,88 days
2024-06-12,3562.4135833637724,0.018225037754755036,1.018225037754755,89 days
2024-06-13,3471.828781204225,-0.025427929699845198,0.9745720703001548,90 days
2024-06-14,3476.7280893655698,0.0014111606505102792,1.0014111606505103,91 days
2024-06-15,3562.309513699489,0.024615506917463836,1.0246155069174638,92 days
2024-06-16,3624.1497783118575,0.017359598983342384,1.0173595989833424,93 days
2024-06-17,3512.3496126678247,-0.03084866037079459,0.9691513396292054,94 days
2024-06-18,3475.7183431259973,-0.010429277714755658,0.9895707222852443,95 days
2024-06-19,3560.6251501165507,0.024428563712153295,1.0244285637121533,96 days
2024-06-20,3515.2498694361702,-0.012743627528130852,0.9872563724718691,97 days
2024-06-21,3515.421889113857,4.8935263232019466e-05,1.000048935263232,98 days
2024-06-22,3500.3418777904035,-0.004289673273683459,0.9957103267263165,99 days
2024-06-23,3422.0713269756043,-0.022360830326724424,0.9776391696732756,100 days
2024-06-24,3350.0913110698943,-0.02103404898030725,0.9789659510196927,101 days
2024-06-25,3398.99996193521,0.01459919934232956,1.0145991993423296,102 days
2024-06-26,3374.766565677212,-0.007129566498788931,0.9928704335012111,103 days
2024-06-27,3443.492421795222,0.020364625161627625,1.0203646251616276,104 days
2024-06-28,3372.4397571832847,-0.020633896030151533,0.9793661039698485,105 days
2024-06-29,3377.8509049864706,0.001604520226539341,1.0016045202265393,106 days
2024-06-30,3442.954169787875,0.019273575605512017,1.019273575605512,107 days
2024-07-01,3433.79695616365,-0.002659696636272413,0.9973403033637276,108 days
2024-07-02,3417.0514893268696,-0.004876661914072211,0.9951233380859278,109 days
2024-07-03,3292.5684944970662,-0.036429944125403124,0.9635700558745969,110 days
2024-07-04,3060.31080284919,-0.07053997267970369,0.9294600273202963,111 days
2024-07-05,2983.524126092117,-0.0250911367190495,0.9749088632809505,112 days
2024-07-06,3068.933217110511,0.028626914819108507,1.0286269148191085,113 days
2024-07-07,2927.177007960174,-0.046190711599715106,0.9538092884002849,114 days
2024-07-08,3023.0849706436684,0.032764661112970606,1.0327646611129706,115 days
2024-07-09,3065.98365695902,0.014190367367086676,1.0141903673670867,116 days
2024-07-10,3096.403799586904,0.009921821520097573,1.0099218215200976,117 days
2024-07-11,3095.739541940135,-0.00021452552372447364,0.9997854744762755,118 days
2024-07-12,3126.67449533969,0.009992750675713369,1.0099927506757134,119 days
2024-07-13,3182.846295546061,0.017965349539932784,1.0179653495399328,120 days
2024-07-14,3246.973046131563,0.02014761148700095,1.020147611487001,121 days
2024-07-15,3486.5170787699594,0.07377456764656198,1.073774567646562,122 days
2024-07-16,3449.0008038467013,-0.010760387537379845,0.9892396124626202,123 days
2024-07-17,3395.474973545335,-0.015519228131715246,0.9844807718682848,124 days
2024-07-18,3426.1517457046925,0.009034604112345024,1.009034604112345,125 days
2024-07-19,3512.3913469664994,0.025170981224029054,1.025170981224029,126 days
2024-07-20,3513.7653325659444,0.0003911823779636503,1.0003911823779637,127 days
2024-07-21,3532.591434732776,0.005357814306023556,1.0053578143060236,128 days
2024-07-22,3436.316207057031,-0.02725342838380851,0.9727465716161915,129 days
2024-07-23,3480.075670096263,0.012734411038589633,1.0127344110385896,130 days
2024-07-24,3329.0966976267755,-0.04338381885394782,0.9566161811460522,131 days
2024-07-25,3173.2850634140664,-0.04680297641212494,0.9531970235878751,132 days
2024-07-26,3276.4070375501387,0.03249691473514371,1.0324969147351437,133 days
2024-07-27,3252.897717068891,-0.007175335729600496,0.9928246642703995,134 days
2024-07-28,3263.497519609402,0.0032585723445563985,1.0032585723445564,135 days
2024-07-29,3322.378459927924,0.01804228131467034,1.0180422813146703,136 days
2024-07-30,3274.292230428652,-0.014473435245036748,0.9855265647549633,137 days
2024-07-31,3230.316959894912,-0.013430466017989806,0.9865695339820102,138 days
2024-08-01,3205.163330571843,-0.007786737225899842,0.9922132627741002,139 days
2024-08-02,2986.553478462416,-0.06820552638433686,0.9317944736156631,140 days
2024-08-03,2904.798249573859,-0.027374439961693864,0.9726255600383061,141 days
2024-08-04,2683.4954529964016,-0.07618525541659316,0.9238147445834068,142 days
2024-08-05,2428.8981085413334,-0.09487526582941808,0.9051247341705819,143 days
2024-08-06,2456.265769834542,0.01126752134927722,1.0112675213492772,144 days
2024-08-07,2342.8874640647414,-0.04615881032183167,0.9538411896781683,145 days
2024-08-08,2681.424735370328,0.14449574574027935,1.1444957457402793,146 days
2024-08-09,2595.6254528690038,-0.031997647134956675,0.9680023528650433,147 days
2024-08-10,2607.9671045494347,0.004754789126755421,1.0047547891267554,148 days
2024-08-11,2559.907264433434,-0.01842808524392936,0.9815719147560706,149 days
2024-08-12,2726.811486570923,0.06519932360691527,1.0651993236069153,150 days
2024-08-13,2702.3949778453607,-0.008954234220374002,0.991045765779626,151 days
